"","MS_SubClass","MS_Zoning","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_Type_2","Heating","Heating_QC","Central_Air","Electrical","Kitchen_Qual","Functional","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Qual","Garage_Cond","Paved_Drive","Pool_QC","Fence","Misc_Feature","Sale_Type","Sale_Condition","PID","Lot_Frontage","Lot_Area","Year_Built","Year_Remod_Add","Mas_Vnr_Area","BsmtFin_SF_1","BsmtFin_SF_2","Bsmt_Unf_SF","Total_Bsmt_SF","First_Flr_SF","Second_Flr_SF","Low_Qual_Fin_SF","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","TotRms_AbvGrd","Fireplaces","Garage_Yr_Blt","Garage_Cars","Garage_Area","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","Three_season_porch","Screen_Porch","Pool_Area","Misc_Val","Mo_Sold","Year_Sold","Sale_Price"
"1","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Above_Average","Average","Other","CompShg","Other","Other","Other","Typical","Typical","CBlock","Typical","Other","Other","Other","Unf","GasA","Other","Y","SBrkr","Typical","Typ","Good","Attchd","Fin","Typical","Typical","Other","No_Pool","No_Fence","None","WD ","Normal",526301100,141,31770,1960,1960,112,2,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,0,0,5,2010,215000
"2","One_Story_1946_and_Newer_All_Styles","Other","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Other","Norm","OneFam","One_Story","Average","Other","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","CBlock","Typical","Typical","No","Other","Other","GasA","Typical","Y","SBrkr","Typical","Typ","No_Fireplace","Attchd","Unf","Typical","Typical","Paved","No_Pool","Other","None","WD ","Normal",526350040,80,11622,1961,1961,0,6,144,270,882,896,0,0,896,0,0,1,0,2,1,5,0,1961,1,730,140,0,0,0,120,0,0,6,2010,105000
"3","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Above_Average","Other","Other","CompShg","Other","Other","BrkFace","Typical","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Typical","Y","SBrkr","Good","Typ","No_Fireplace","Attchd","Unf","Typical","Typical","Paved","No_Pool","No_Fence","Other","WD ","Normal",526351010,81,14267,1958,1958,108,1,0,406,1329,1329,0,0,1329,0,0,1,1,3,1,6,0,1958,1,312,393,36,0,0,0,0,12500,6,2010,172000
"4","One_Story_1946_and_Newer_All_Styles","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Other","Gtl","Other","Norm","Norm","OneFam","One_Story","Good","Average","Other","CompShg","Other","Other","None","Good","Typical","CBlock","Typical","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Other","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",526353030,93,11160,1968,1968,0,1,0,1045,2110,2110,0,0,2110,1,0,2,1,3,1,8,2,1968,2,522,0,0,0,0,0,0,0,4,2010,244000
"5","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Average","Average","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Other","Y","SBrkr","Typical","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","Other","None","WD ","Normal",527105010,74,13830,1997,1998,0,3,0,137,928,928,701,0,1629,0,0,2,1,3,1,6,1,1997,2,482,212,34,0,0,0,0,0,3,2010,189900
"6","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Above_Average","Other","Gable","CompShg","VinylSd","VinylSd","BrkFace","Typical","Typical","PConc","Typical","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Good","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527105030,78,9978,1998,1998,20,3,0,324,926,926,678,0,1604,0,0,2,1,3,1,7,1,1998,2,470,360,36,0,0,0,0,0,6,2010,195500
"7","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Other","Average","Gable","CompShg","Other","Other","None","Good","Typical","PConc","Good","Typical","Other","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","No_Fireplace","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527127150,41,4920,2001,2001,0,3,0,722,1338,1338,0,0,1338,1,0,2,0,2,1,6,0,2001,2,582,0,0,170,0,0,0,0,4,2010,213500
"8","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Other","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Other","Average","Gable","CompShg","Other","Other","None","Good","Typical","PConc","Good","Typical","No","Other","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","No_Fireplace","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527145080,43,5005,1992,1992,0,1,0,1017,1280,1280,0,0,1280,0,0,2,0,2,1,5,0,1992,2,506,0,82,0,0,144,0,0,1,2010,191500
"9","Other","Residential_Low_Density","No_Alley_Access","Slightly_Irregular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","Other","One_Story","Other","Average","Gable","CompShg","Other","Other","None","Good","Typical","PConc","Good","Typical","No","GLQ","Unf","GasA","Excellent","Y","SBrkr","Good","Typ","Typical","Attchd","RFn","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527146030,39,5389,1995,1996,0,3,0,415,1595,1616,0,0,1616,1,0,2,0,2,1,5,1,1995,2,608,237,152,0,0,0,0,0,3,2010,236500
"10","Other","Residential_Low_Density","No_Alley_Access","Regular","Lvl","AllPub","Inside","Gtl","Other","Norm","Norm","OneFam","Two_Story","Good","Average","Gable","CompShg","VinylSd","VinylSd","None","Typical","Typical","PConc","Typical","Typical","No","Unf","Unf","GasA","Other","Y","SBrkr","Good","Typ","Typical","Attchd","Fin","Typical","Typical","Paved","No_Pool","No_Fence","None","WD ","Normal",527162130,60,7500,1999,1999,0,7,0,994,994,1028,776,0,1804,0,0,2,1,3,1,7,1,1999,2,442,140,60,0,0,0,0,0,6,2010,189000
